victim_id,worthless_death_count,total_deaths,worthless_death_ratio
106.0,242,388,0.6237113402061856
107.0,443,837,0.5292712066905615
108.0,394,658,0.5987841945288754
109.0,194,280,0.6928571428571428
110.0,387,747,0.5180722891566265
111.0,136,212,0.6415094339622641
112.0,413,771,0.5356679636835279
113.0,154,262,0.5877862595419847
114.0,302,534,0.5655430711610487
115.0,187,343,0.5451895043731778
116.0,301,592,0.5084459459459459
117.0,74,114,0.6491228070175439
118.0,479,949,0.5047418335089568
119.0,61,105,0.580952380952381
120.0,223,393,0.5674300254452926
121.0,88,132,0.6666666666666666
122.0,405,690,0.5869565217391305
123.0,466,699,0.6666666666666666
124.0,427,662,0.6450151057401813
125.0,105,208,0.5048076923076923
126.0,122,178,0.6853932584269663
127.0,15,26,0.5769230769230769
128.0,172,306,0.5620915032679739
129.0,221,392,0.5637755102040817
130.0,11,15,0.7333333333333333
131.0,116,198,0.5858585858585859
132.0,31,39,0.7948717948717948
133.0,285,509,0.5599214145383105
134.0,117,201,0.582089552238806
135.0,131,212,0.6179245283018868
136.0,21,43,0.4883720930232558
137.0,403,760,0.5302631578947369
138.0,273,535,0.5102803738317757
139.0,27,45,0.6
140.0,289,478,0.604602510460251
141.0,186,342,0.543859649122807
142.0,323,541,0.5970425138632163
143.0,66,123,0.5365853658536586
144.0,54,83,0.6506024096385542
145.0,343,651,0.5268817204301075
146.0,208,377,0.5517241379310345
147.0,61,102,0.5980392156862745
148.0,262,422,0.6208530805687204
149.0,287,575,0.4991304347826087
150.0,106,176,0.6022727272727273
151.0,289,504,0.5734126984126984
152.0,376,631,0.595879556259905
153.0,90,174,0.5172413793103449
154.0,495,923,0.5362946912242686
155.0,458,775,0.5909677419354838
156.0,451,759,0.5942028985507246
157.0,69,108,0.6388888888888888
158.0,50,94,0.5319148936170213
159.0,2,4,0.5
160.0,2,3,0.6666666666666666
161.0,252,493,0.5111561866125761
162.0,133,218,0.6100917431192661
163.0,32,49,0.6530612244897959
164.0,165,287,0.5749128919860628
165.0,7,9,0.7777777777777778
166.0,59,91,0.6483516483516484
167.0,56,86,0.6511627906976745
168.0,189,291,0.6494845360824743
169.0,570,935,0.6096256684491979
170.0,252,406,0.6206896551724138
171.0,155,282,0.549645390070922
172.0,3,4,0.75
173.0,21,27,0.7777777777777778
174.0,248,473,0.5243128964059197
175.0,361,615,0.5869918699186992
176.0,184,297,0.6195286195286195
177.0,376,695,0.5410071942446043
178.0,175,276,0.6340579710144928
179.0,313,513,0.6101364522417154
180.0,485,976,0.4969262295081967
181.0,304,492,0.6178861788617886
182.0,130,244,0.5327868852459017
183.0,399,709,0.5627644569816643
184.0,320,573,0.5584642233856894
185.0,255,451,0.565410199556541
186.0,257,441,0.5827664399092971
187.0,271,431,0.62877030162413
188.0,352,652,0.5398773006134969
189.0,196,339,0.5781710914454278
