killer_id,free_kill_count,total_kills,free_kill_ratio
104.0,135,253,0.5335968379446641
105.0,68,114,0.5964912280701754
106.0,327,629,0.519872813990461
107.0,146,250,0.584
108.0,345,615,0.5609756097560976
109.0,270,461,0.5856832971800434
110.0,529,938,0.5639658848614072
111.0,233,380,0.6131578947368421
112.0,434,770,0.5636363636363636
113.0,164,307,0.5342019543973942
114.0,712,1196,0.5953177257525084
115.0,52,87,0.5977011494252874
116.0,307,540,0.5685185185185185
117.0,48,98,0.4897959183673469
118.0,141,245,0.5755102040816327
119.0,102,155,0.6580645161290323
120.0,368,607,0.6062602965403624
121.0,47,122,0.38524590163934425
122.0,958,1598,0.5994993742177722
123.0,365,694,0.5259365994236311
124.0,568,936,0.6068376068376068
125.0,84,156,0.5384615384615384
126.0,57,105,0.5428571428571428
127.0,18,31,0.5806451612903226
128.0,39,67,0.582089552238806
129.0,151,267,0.5655430711610487
130.0,5,15,0.3333333333333333
131.0,169,291,0.5807560137457045
132.0,10,21,0.47619047619047616
133.0,262,446,0.5874439461883408
134.0,24,44,0.5454545454545454
135.0,77,137,0.5620437956204379
136.0,16,24,0.6666666666666666
137.0,122,201,0.6069651741293532
138.0,165,291,0.5670103092783505
139.0,32,64,0.5
140.0,313,539,0.5807050092764379
141.0,289,495,0.5838383838383838
142.0,391,668,0.5853293413173652
143.0,102,170,0.6
144.0,29,58,0.5
145.0,720,1188,0.6060606060606061
146.0,250,432,0.5787037037037037
147.0,18,40,0.45
148.0,443,770,0.5753246753246753
149.0,83,161,0.515527950310559
150.0,120,205,0.5853658536585366
151.0,308,536,0.5746268656716418
152.0,265,498,0.5321285140562249
153.0,93,153,0.6078431372549019
154.0,1158,1909,0.606600314300681
155.0,97,172,0.563953488372093
156.0,357,636,0.5613207547169812
157.0,26,65,0.4
158.0,45,87,0.5172413793103449
160.0,0,2,0.0
161.0,58,112,0.5178571428571429
162.0,117,194,0.6030927835051546
163.0,49,81,0.6049382716049383
164.0,41,71,0.5774647887323944
165.0,4,8,0.5
166.0,46,93,0.4946236559139785
167.0,69,103,0.6699029126213593
168.0,154,264,0.5833333333333334
169.0,534,923,0.5785482123510293
170.0,288,525,0.5485714285714286
171.0,33,62,0.532258064516129
172.0,6,6,1.0
173.0,20,33,0.6060606060606061
174.0,313,555,0.563963963963964
175.0,662,1106,0.5985533453887885
176.0,335,563,0.5950266429840142
177.0,403,675,0.597037037037037
178.0,209,339,0.616519174041298
179.0,530,981,0.5402650356778798
180.0,194,299,0.6488294314381271
181.0,206,375,0.5493333333333333
182.0,50,79,0.6329113924050633
183.0,663,1058,0.6266540642722117
184.0,816,1328,0.6144578313253012
185.0,123,203,0.6059113300492611
186.0,309,542,0.5701107011070111
187.0,340,608,0.5592105263157895
188.0,512,800,0.64
189.0,279,412,0.6771844660194175
190.0,47,78,0.6025641025641025
191.0,319,520,0.6134615384615385
192.0,344,577,0.5961871750433275
193.0,332,560,0.5928571428571429
